Restaurant Name,Average Rating,Average Votes
Prince Chaat Corner,3.45,48.0
Kanha Sweets,3.4499999999999997,82.0
Druk,3.4499999999999997,37.5
Shyam Sweets,3.4499999999999997,104.5
Kanwarji's,3.4333333333333336,77.33333333333333
Cafe Turtle,3.4333333333333336,287.0
Urban Punjab,3.4333333333333336,134.33333333333334
Tikka Junction,3.4333333333333336,50.0
Burger Singh,3.4333333333333336,252.33333333333334
The Coffee Bean & Tea Leaf,3.425,213.75
Cocoberry,3.4222222222222225,62.666666666666664
Angels in my Kitchen,3.4125,155.125
Burger King,3.40625,288.5625
Shawarma King's,3.4000000000000004,71.5
Habibi,3.4000000000000004,165.0
Oberoi's,3.4000000000000004,41.5
Sbarro,3.4,704.0
Hot Stuff,3.4,59.5
Litti.In,3.4,156.0
Chawnsan Chef,3.4,58.5
Baked Buns,3.4,91.0
Sonya Bakery Cafe,3.4,27.0
South Indian Corner,3.4,44.5
Tamura,3.4,91.0
Pasta Hut,3.4,58.0
MR.D - Deliciousness Delivered,3.4,257.5
Little Chef,3.4,106.0
Rollmaal,3.4,239.66666666666666
Jack Po!tato's,3.4,26.0
Havmor Ice Cream,3.3666666666666667,19.0
221 B Baker Street,3.3666666666666667,71.66666666666667
High On Burgers,3.35,76.0
Chalte Firte Momos & Special Foods,3.35,133.5
Weird Time Food,3.35,28.0
The Bake Studio,3.35,49.0
Big Dragon,3.35,94.5
Roti Aur Boti,3.35,28.0
Koyla Kebab,3.35,70.5
Chawla's,3.3499999999999996,92.5
Oh Buoy,3.3499999999999996,52.5
Sethi's The Cake Shop,3.3499999999999996,83.0
Papa Veg Chinese Food,3.3499999999999996,31.0
McDonald's,3.3395833333333336,110.22916666666667
Not Just Paranthas,3.3333333333333335,549.0
Bharat Sweets,3.3333333333333335,21.666666666666668
Nazeer Foods,3.3285714285714287,232.57142857142858
Pizza Hut,3.32,165.36666666666667
Crust N Cakes,3.3,12.0
Bon Bon Pastry Shop,3.3,152.0
Hotel Malabar,3.3,76.5
Spanish Delights,3.3,16.5
Italiano,3.3,337.0
Bhappe Di Hatti,3.3,22.5
Fast Trax,3.3,103.5
Gola Sizzlers,3.3,492.0
Mitthu Tikki Wala,3.3,33.5
Nazeer Delicacies,3.3,92.0
Gopala,3.29,26.4
BTW,3.2857142857142856,142.57142857142858
Kake Da Hotel,3.28,465.4
Punjab Restaurant,3.266666666666667,45.666666666666664
BarShala,3.266666666666667,28.333333333333332
Nawabi Mughlai Zaika,3.25,26.5
Cake Palace,3.25,85.5
Kamal's,3.25,194.5
Kumar Pastry Shop,3.25,39.5
Khalsa Veg Corner,3.25,16.0
Au Bon Pain,3.25,255.5
Vaishno Punjabi Dhaba,3.25,41.0
Embassy,3.25,416.0
Dabba Meat,3.25,112.0
Jahangeer Foods,3.25,94.0
Green Leaf,3.25,110.0
Bhoj Restaurant,3.25,71.5
Yumm Biryani,3.2,93.5
Chaap Point,3.2,17.0
Rajshree,3.2,13.5
Burger Hut,3.2,167.5
Organic Express,3.2,13.5
Colonel's Kababz,3.2,191.5
Moon Bite,3.2,95.0
SGF - Spice Grill Flame,3.2,37.4
Relax Xpress,3.2,50.0
Big Fat Sandwich,3.2,126.5
Chao Cart,3.2,18.0
Bikanervala,3.192857142857143,212.85714285714286
Behrouz Biryani,3.1846153846153844,39.15384615384615
Nite Bites,3.175,126.75
Pudding & Pie,3.1666666666666665,43.0
Cakes & Bakes,3.1666666666666665,30.666666666666668
Berco's,3.1666666666666665,599.3333333333334
True Blue,3.1666666666666665,22.666666666666668
Cook Du Kdu,3.1500000000000004,82.0
JSB Evergreen Snack & Sweets,3.1500000000000004,44.0
Hungry - I,3.1500000000000004,228.5
Bake Club,3.1500000000000004,29.5
Adyar Ananda Bhavan,3.15,203.5
Punjabee's Darbar,3.15,26.5
Bhimsain's Bengali Sweet House,3.15,282.0
Zooby's Kitchen,3.15,26.0
Le Chef,3.15,70.0
Go Kylin,3.15,45.0
Burger Point,3.1454545454545455,52.18181818181818
Nando's,3.1399999999999997,809.0
Dunkin' Donuts,3.1363636363636362,271.54545454545456
Om Sweets & Snacks,3.1333333333333333,212.66666666666666
Shahenshah,3.1333333333333333,24.0
Health Buzzz,3.1333333333333333,13.333333333333334
Punjabi Pakwaan,3.1333333333333333,66.33333333333333
KB's Kulfi & Icecream,3.133333333333333,24.333333333333332
Bawarchi,3.125,21.5
DCK- Dana Choga's Kitchen,3.125,259.25
Rainbows,3.1,28.25
Dilli Darbar,3.1,68.0
Polka Pastry & Snack Bar,3.1,46.333333333333336
Ramesh Vaishno Dhaba,3.1,24.0
Hyderabad House,3.1,37.0
Snack Junction,3.1,18.5
The Mirch Masala,3.1,14.5
Clever Fox Cafe,3.1,25.5
Country Curries,3.1,73.5
Reena Restaurant,3.1,33.0
Kolkata Kathi Roll,3.1,53.0
Chai Point,3.1,155.75
Kolkata Biryani House,3.0999999999999996,256.5
Fresh n Refresh,3.0999999999999996,23.0
Flavours,3.0999999999999996,42.5
Momos House,3.0999999999999996,18.5
Barista,3.0727272727272723,37.04545454545455
Kerala Cafe,3.0666666666666664,71.33333333333333
Roll Club,3.0666666666666664,54.0
Pasta Hub,3.05,11.5
Shamji Sweets,3.05,20.5
Chawla Family Restaurant,3.05,50.5
Hawkers,3.05,212.0
Amritsari Dhaba,3.05,14.0
The Taste,3.05,5.5
Shree Durga Dosa,3.05,31.0
34 Parkstreet Lane,3.05,15.5
Angeethi,3.05,59.0
Mithaas,3.05,102.5
The Dosa King,3.05,42.0
Chawla's Chic Inn,3.033333333333333,51.666666666666664
Hira Sweets,3.033333333333333,46.666666666666664
Tikka Town,3.033333333333333,103.0
Chimney,3.033333333333333,31.666666666666668
Karim's,3.0307692307692307,529.0769230769231
Kebab Xpress,3.025,88.5
The Beer Cafe,3.016666666666667,331.1666666666667
Ram Chinese Food,3.0,16.0
Shree Rathnam,3.0,72.2
Moti Mahal Delux,3.0,73.07142857142857
South Indian Cafe,3.0,30.0
Shree Bikaner Misthan Bhandar,3.0,13.8
Brijwasi Restaurant,3.0,35.5
Halki Aanch,3.0,51.5
The Tandoor,3.0,83.0
Gullu's,3.0,57.0
The Kathis,3.0,61.75
Fluffles - The Fluffy Waffle Co.,3.0,17.0
Yomo-Your Only Momo Outlet,3.0,5.5
Yo! China,2.988888888888889,216.77777777777777
Gelato Vinto,2.975,17.5
Hangchuaa's Chinese Food Corner,2.966666666666667,20.0
Sagar Ratna,2.9631578947368418,212.52631578947367
The Chef,2.95,15.5
The Kitchen,2.95,33.5
The Roll Van,2.95,4.5
Shankar Fast Food,2.95,44.5
Alaturka,2.95,151.0
Gulab,2.95,25.5
Kolkata Hot Kathi Roll,2.95,28.0
Ammu's South Indian Restaurant,2.95,27.5
Al Bake,2.9499999999999997,66.0
Faasos,2.9375,9.625
Flirty Momo's,2.92,17.8
Subway,2.907936507936508,97.2063492063492
Pizza Yum,2.9000000000000004,16.0
Mithaas Sweets,2.9000000000000004,28.0
Garden Hut,2.9000000000000004,10.5
Basil Tree,2.9,263.5
Khan Chicken Biryani,2.9,11.5
Bobby Tikki Wala,2.9,71.5
Jaiveer Naan & Chaap,2.9,44.333333333333336
New Kadimi,2.9,126.0
Sugar & Spice - Le Marche,2.9,87.75
Keventers,2.8705882352941177,37.14705882352941
Tea Halt,2.8666666666666667,39.333333333333336
The Chinese Hut,2.8600000000000003,31.0
Bakingo,2.85,7.5
Wheelyz,2.85,36.5
Chawla's Tandoori Xpress,2.85,60.0
Zaika,2.85,61.25
Zaaika Junction,2.85,40.5
Urban Dhaba,2.85,25.5
Shri Ram Restaurant,2.85,49.0
Ankur Family Restaurant,2.8499999999999996,5.5
Tibb's Frankie,2.8428571428571425,37.142857142857146
Bunty Dhaba,2.8333333333333335,28.0
The Golden Dragon,2.8333333333333335,101.33333333333333
Frontier,2.8285714285714287,8.928571428571429
Nukkadwala,2.82,41.2
Cafe Coffee Day - The Lounge,2.8000000000000003,55.0
Bikano Chat Cafe,2.8,46.5
Bengal Sweet Corner,2.8,96.0
Aggarwal's Sweets Paradise,2.8,12.0
Rolling Beans,2.8,7.0
"34, Chowringhee Lane",2.7916666666666665,64.75
Giani's,2.7818181818181817,52.27272727272727
Breaktym,2.766666666666667,12.333333333333334
Wow! Momo,2.7545454545454544,101.72727272727273
New Zaika,2.75,22.5
Goli Vada Pav No. 1,2.75,91.33333333333333
The Blue Tandoor,2.75,29.5
Oberoi Biryani,2.75,112.5
Raj Restaurant,2.75,51.5
China Hot Pot,2.75,15.5
Pizza Diet,2.75,17.5
KFC,2.7444444444444445,129.5
Domino's Pizza,2.740506329113924,84.0886075949367
Moti Mahal Delux Tandoori Trail,2.733333333333333,83.5
Chinese Hut,2.7285714285714286,37.285714285714285
Slice of Italy,2.728571428571428,196.71428571428572
Momo-Cha,2.725,31.0
Nathu's Sweets,2.7199999999999998,200.6
Southy,2.716666666666667,107.16666666666667
Evergreen Sweets,2.7,15.0
Night Food Xprs,2.7,63.5
Say Cheese,2.7,96.0
Muffins,2.7,61.0
Singz,2.7,51.5
China Hut,2.7,17.0
Pandey Chinese Hut,2.7,25.0
Bats On Delivery,2.6999999999999997,36.0
Giani,2.689655172413793,29.448275862068964
Green Chick Chop,2.6725490196078434,18.901960784313726
Pizza Hut Delivery,2.6578947368421053,80.36842105263158
Metro Fast Food,2.6500000000000004,21.5
GoGourmet,2.6500000000000004,24.75
Nirula's,2.65,119.5
Bikaner's,2.65,7.5
Pind Balluchi,2.63,279.1
Madhuvan Chinese Fast Food,2.6,42.0
Americana Kitchen and Bar,2.5999999999999996,163.0
Kamboj's,2.5999999999999996,157.5
Mr. Sub,2.5833333333333335,36.166666666666664
Wrapss,2.566666666666667,85.0
Chowringhee,2.5625,98.125
Punjabi Tadka,2.55,22.75
Chutneez Restaurant Lounge & Bar,2.55,128.0
Anupam Sweets,2.55,14.5
Foodhall,2.533333333333333,47.666666666666664
